YearsExperience,Education,JobRole,OrgSize,Location,CompTotal,CompFreq,Currency,LanguageHaveWorkedWith,Age,Gender
3,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, QA or test",10 to 19 employees,Viet Nam,8000000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript;Objective-C;PHP;SQL,24.0,Man
4,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Developer, full-stack",2-9 employees,Viet Nam,7500.0,Monthly,United States dollar,HTML/CSS;JavaScript,29.0,Man
3,Some college/university study without earning a degree,"Developer, back-end;System administrator",20 to 99 employees,Viet Nam,34500000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C;HTML/CSS;JavaScript;Ruby;SQL,28.0,Man
15,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Developer, back-end;Developer, full-stack",10 to 19 employees,Viet Nam,2000.0,Monthly,United States dollar,Go;Python;SQL,36.0,Man
6,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Educator;Scientist",20 to 99 employees,Viet Nam,2000.0,Monthly,United States dollar,C#;HTML/CSS;JavaScript;Objective-C;SQL;TypeScript,28.0,Man
7,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,2000.0,Monthly,European Euro,C++;Go;Java;PHP,25.0,Man
5,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Data scientist or machine learning specialist,20 to 99 employees,Viet Nam,10000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;Python,25.0,Man
10,Associate degree,"Developer, front-end;Developer, full-stack","10,000 or more employees",Viet Nam,23000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Ruby;SQL,27.0,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, data;Engineer, site reliability;System administrator","1,000 to 4,999 employees",Viet Nam,1500.0,Monthly,United States dollar,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;Ruby;Scala;SQL;Other(s):,24.0,Man
11,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Engineering manager","1,000 to 4,999 employees",Viet Nam,86000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;TypeScript,33.0,Man
10,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end",100 to 499 employees,Viet Nam,50000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;Java;JavaScript,35.0,Man
10,I never completed any formal education,"Developer, mobile",100 to 499 employees,Viet Nam,70000000.0,Monthly,Vietnamese dong,Go;Objective-C;Swift,29.0,Man
10,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, full-stack;DevOps specialist;Engineer, site reliability;System administrator",100 to 499 employees,Viet Nam,35000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;Java;PHP,30.0,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",20 to 99 employees,Viet Nam,18000000.0,Monthly,Vietnamese dong,C++;Java;JavaScript,27.0,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Developer, embedded applications or devices;Developer, full-stack;DevOps specialist;System administrator",20 to 99 employees,Viet Nam,28000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;Python;SQL;Swift,26.0,Man
5,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, mobile",100 to 499 employees,Viet Nam,23000000.0,Monthly,Vietnamese dong,C++;JavaScript;Objective-C;Python;SQL;Swift,24.0,Man
10,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, full-stack;Developer, mobile",20 to 99 employees,Viet Nam,45000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL;TypeScript,29.0,Man
23,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","DevOps specialist;Engineer, site reliability","10,000 or more employees",Viet Nam,5300.0,Monthly,United States dollar,Bash/Shell/PowerShell;C;JavaScript;Python,38.0,Man
3,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, full-stack;Student",100 to 499 employees,Viet Nam,1800000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;Python,21.0,Man
5,I never completed any formal education,"Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist",100 to 499 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,Java;JavaScript,23.0,Man
6,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, embedded applications or devices","10,000 or more employees",Viet Nam,28000000.0,Monthly,Vietnamese dong,C;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby,29.0,Man
10,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Engineer, data;System administrator",500 to 999 employees,Viet Nam,22000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,40.0,Man
5,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Academic researcher;Developer, full-stack",20 to 99 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;Ruby;SQL,25.0,Man
3,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,800000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript;TypeScript,25.0,Man
8,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, full-stack;Developer, mobile",100 to 499 employees,Viet Nam,56000000.0,Monthly,Vietnamese dong,C#;Java,28.0,Man
9,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack",,Viet Nam,28000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;TypeScript;Other(s):,26.0,Man
2,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, front-end;Developer, full-stack",20 to 99 employees,Viet Nam,1200.0,Monthly,European Euro,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript,34.0,Man
3,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Academic researcher;Developer, QA or test;Scientist",20 to 99 employees,Viet Nam,11500000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;Other(s):,26.0,Man
5,I never completed any formal education,"Developer, full-stack",20 to 99 employees,Viet Nam,30000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;TypeScript,28.0,Man
4,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, desktop or enterprise applications;Developer, game or graphics;Developer, mobile",500 to 999 employees,Viet Nam,1000000.0,Monthly,Vietnamese dong,C;C++;HTML/CSS;Java;JavaScript;Ruby;Swift;TypeScript,23.0,Man
8,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, embedded applications or devices",100 to 499 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;JavaScript;SQL,28.0,Man
2,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",100 to 499 employees,Viet Nam,18000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL;TypeScript,24.0,Man
9,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Developer, full-stack;DevOps specialist;System administrator",10 to 19 employees,Viet Nam,3500.0,Monthly,United States dollar,HTML/CSS;JavaScript;Python;Ruby;SQL,,Man
5,I never completed any formal education,"Developer, full-stack",2-9 employees,Viet Nam,16000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL,24.0,Man
10,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,365000000.0,Yearly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL,31.0,Man
9,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,1200.0,Monthly,United States dollar,HTML/CSS;JavaScript;TypeScript,27.0,Man
10,,"Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",20 to 99 employees,Viet Nam,25000000.0,Monthly,Vietnamese dong,Assembly;Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,,
2,"Bachelor’s degree (BA, BS, B.Eng., etc.)",DevOps specialist,"1,000 to 4,999 employees",Viet Nam,10000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;R,23.0,Man
7,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, mobile",20 to 99 employees,Viet Nam,46000000.0,Monthly,Vietnamese dong,Java;Kotlin;Python,27.0,Man
13,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Academic researcher;Data or business analyst;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;Engineer, data;Marketing or sales professional;Student;System administrator",2-9 employees,Viet Nam,25000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;Objective-C;PHP;SQL;Swift,33.0,Man
3,Some college/university study without earning a degree,"Developer, back-end;Engineer, site reliability",20 to 99 employees,Viet Nam,20000000.0,Monthly,Vietnamese dong,C;Clojure;Go;HTML/CSS;JavaScript;Python;Ruby;SQL,22.0,Man
4,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack","1,000 to 4,999 employees",Viet Nam,22000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript,28.0,Man
5,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",20 to 99 employees,Viet Nam,23000000.0,Monthly,Vietnamese dong,C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,28.0,Man
6,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,8500000.0,Monthly,Vietnamese dong,C++;C#;HTML/CSS;Java;JavaScript;PHP;SQL;Other(s):,25.0,Woman
4,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,9000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;Ruby,23.0,Man
4,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, front-end;Developer, full-stack",20 to 99 employees,Viet Nam,10000000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript,22.0,Man
4,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, full-stack","10,000 or more employees",Viet Nam,300000000.0,Yearly,Vietnamese dong,C#;JavaScript;TypeScript,24.0,Man
32,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Data or business analyst;Developer, back-end;DevOps specialist",100 to 499 employees,Viet Nam,63000000.0,Monthly,Vietnamese dong,C#;Other(s):,46.0,Man
4,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Database administrator;Engineer, data","1,000 to 4,999 employees",Viet Nam,1200.0,Monthly,European Euro,HTML/CSS;R,28.0,Woman
3,Some college/university study without earning a degree,"Data scientist or machine learning specialist;Database administrator;Developer, back-end","1,000 to 4,999 employees",Viet Nam,11000000.0,Monthly,Vietnamese dong,Python;SQL,24.0,Man
8,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;Marketing or sales professional",10 to 19 employees,Viet Nam,1500.0,Monthly,United States dollar,HTML/CSS;JavaScript;PHP;Other(s):,33.0,Man
5,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile",20 to 99 employees,Viet Nam,14000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;JavaScript;SQL;TypeScript,25.0,Man
9,Some college/university study without earning a degree,"Academic researcher;Designer;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Developer, QA or test;DevOps specialist;Marketing or sales professional;Product manager;Student",10 to 19 employees,Viet Nam,188.0,Weekly,United States dollar,HTML/CSS;JavaScript;PHP;SQL,29.0,"Non-binary, genderqueer, or gender non-conforming"
9,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist","10,000 or more employees",Viet Nam,20500000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,28.0,Man
15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices",,Viet Nam,50000000.0,Monthly,Vietnamese dong,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;TypeScript;VBA,34.0,Man
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","1,000 to 4,999 employees",Viet Nam,26000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;SQL,30.0,Man
12,"Associate degree (A.A., A.S., etc.)","Developer, desktop or enterprise applications;Developer, full-stack",20 to 99 employees,Viet Nam,18000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;PHP;SQL,28.0,Man
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, mobile",10 to 19 employees,Viet Nam,2500000.0,Monthly,Vietnamese dong,C#;SQL,25.0,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Developer, back-end;Developer, front-end;Developer, mobile",20 to 99 employees,Viet Nam,13000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;PHP;SQL,25.0,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",100 to 499 employees,Viet Nam,19000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;Python,25.0,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",500 to 999 employees,Viet Nam,1300.0,Monthly,United States dollar,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL,29.0,Man
9,Primary/elementary school,"Data or business analyst;Developer, full-stack",100 to 499 employees,Viet Nam,23000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL;TypeScript,31.0,Man
25,Some college/university study without earning a degree,Engineering manager,20 to 99 employees,Viet Nam,12000.0,Monthly,United States dollar,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Python;SQL,41.0,Man
18,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Engineering manager,100 to 499 employees,Viet Nam,110000.0,Yearly,United States dollar,C++;Java;JavaScript;PHP;SQL,,Man
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, mobile;Educator",500 to 999 employees,Viet Nam,60000000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,38.0,Man
7,Some college/university study without earning a degree,"Developer, mobile",20 to 99 employees,Viet Nam,18000000.0,Monthly,Vietnamese dong,JavaScript;Kotlin,24.0,Man
More than 50 years,Some college/university study without earning a degree,"Academic researcher;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics;Developer, mobile;Developer, QA or test;DevOps specialist;Educator;Engineer, data;Engineer, site reliability;Engineering manager;Marketing or sales professional;Product manager;Scientist;Senior executive/VP;System administrator",100 to 499 employees,Viet Nam,4.958550048383934e+16,Monthly,Vietnamese dong,Assembly;Bash/Shell/PowerShell;C;C#;C++;Dart;Go;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Objective-C;Perl;PHP;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript;VBA,,"Woman;Man;Non-binary, genderqueer, or gender non-conforming"
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack",100 to 499 employees,Viet Nam,16000000.0,Monthly,Vietnamese dong,Dart;HTML/CSS;JavaScript;SQL;TypeScript,22.0,Man
35,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,83000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;SQL;TypeScript,47.0,Man
4,Some college/university study without earning a degree,"Developer, back-end",20 to 99 employees,Viet Nam,10000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;SQL,26.0,Man
8,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Designer;Developer, back-end;Developer, mobile",20 to 99 employees,Viet Nam,20000000.0,Monthly,Vietnamese dong,Java;SQL;Swift,27.0,Man
2,Some college/university study without earning a degree,"Developer, mobile",20 to 99 employees,Viet Nam,1500.0,Monthly,United States dollar,Java;JavaScript;Kotlin,30.0,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end",20 to 99 employees,Viet Nam,800.0,Monthly,United States dollar,C#;Java;JavaScript,,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices",20 to 99 employees,Viet Nam,30000000.0,Monthly,Vietnamese dong,C;C#;C++;Python;VBA,28.0,Man
4,Some college/university study without earning a degree,"Developer, embedded applications or devices;Developer, game or graphics;Developer, mobile","1,000 to 4,999 employees",Viet Nam,15000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C;C#;C++;Java;JavaScript;VBA,27.0,Man
5,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack",20 to 99 employees,Viet Nam,50000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;TypeScript,25.0,Man
20,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile",20 to 99 employees,Viet Nam,315315000.0,Yearly,Vietnamese dong,HTML/CSS;Java;JavaScript;PHP;Python;SQL,38.0,Man
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Designer;Developer, front-end;Developer, full-stack;Developer, mobile;Developer, QA or test;Engineering manager;Product manager",20 to 99 employees,Viet Nam,25000000.0,Monthly,Vietnamese dong,Dart;Java;JavaScript;Kotlin;Swift,33.0,Man
17,Some college/university study without earning a degree,"Developer, desktop or enterprise applications;Developer, full-stack","1,000 to 4,999 employees",Viet Nam,42000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,,Man
14,I never completed any formal education,"Designer;Developer, front-end;Developer, game or graphics;Developer, mobile",20 to 99 employees,Viet Nam,34000000.0,Monthly,Vietnamese dong,JavaScript,33.0,Man
15,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Academic researcher;Data scientist or machine learning specialist;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, full-stack;Engineer, data;Engineering manager;Scientist",20 to 99 employees,Viet Nam,1900000000.0,Yearly,Vietnamese dong,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;R;Scala;SQL;TypeScript,35.0,Man
18,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, QA or test;DevOps specialist;Engineering manager;System administrator","5,000 to 9,999 employees",Viet Nam,100000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;Python;SQL;VBA,32.0,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data or business analyst;Developer, back-end",20 to 99 employees,Viet Nam,25000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;Python,,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data scientist or machine learning specialist;Developer, back-end;Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, data","1,000 to 4,999 employees",Viet Nam,270000000.0,Yearly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL,,Man
8,Some college/university study without earning a degree,"Developer, full-stack",20 to 99 employees,Viet Nam,23000000.0,Monthly,Vietnamese dong,Go;HTML/CSS;JavaScript;SQL,26.0,Man
12,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Database administrator;Developer, back-end;Developer, front-end;DevOps specialist;Engineer, data","1,000 to 4,999 employees",Viet Nam,3000.0,Monthly,United States dollar,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,27.0,Man
6,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, desktop or enterprise applications;Developer, embedded applications or devices","10,000 or more employees",Viet Nam,10500000.0,Monthly,Vietnamese dong,C;C++,24.0,Man
2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Academic researcher;Designer;Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack;Developer, game or graphics","10,000 or more employees",Viet Nam,20000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;JavaScript;SQL;TypeScript,30.0,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,17000000.0,Monthly,Vietnamese dong,Go;HTML/CSS;JavaScript;Python;TypeScript,25.0,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,24000000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript;SQL;TypeScript,30.0,Man
4,,"Database administrator;Developer, back-end;Engineer, data",10 to 19 employees,Viet Nam,8000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,23.0,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",10 to 19 employees,Viet Nam,10000000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,24.0,Man
15,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Engineer, data",100 to 499 employees,Viet Nam,37000000.0,Monthly,Vietnamese dong,C#;Python;SQL;TypeScript,,
23,Some college/university study without earning a degree,"Developer, embedded applications or devices;Educator",100 to 499 employees,Viet Nam,380000000.0,Yearly,Vietnamese dong,C#;C++;JavaScript,29.0,Man
5,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, QA or test",,Viet Nam,20000000.0,Monthly,Vietnamese dong,C#;Java;JavaScript,24.0,Man
2,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",100 to 499 employees,Viet Nam,130000000.0,Yearly,Vietnamese dong,C#;HTML/CSS;JavaScript;Python;SQL,24.0,Man
10,Some college/university study without earning a degree,"Developer, back-end;Developer, embedded applications or devices;Developer, mobile",100 to 499 employees,Viet Nam,3300.0,Monthly,United States dollar,C++;Go,30.0,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",500 to 999 employees,Viet Nam,11000000.0,Monthly,Vietnamese dong,Java,25.0,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end",20 to 99 employees,Viet Nam,11500000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;JavaScript;SQL,23.0,Man
13,"Associate degree (A.A., A.S., etc.)","Developer, front-end;Developer, full-stack","10,000 or more employees",Viet Nam,19950000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;Ruby,28.0,Man
10,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, embedded applications or devices","1,000 to 4,999 employees",Viet Nam,35000000.0,Monthly,Vietnamese dong,C;C++;Java;Python,,Man
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data scientist or machine learning specialist;Developer, back-end;Developer, full-stack",100 to 499 employees,Viet Nam,700.0,Monthly,Vietnamese dong,JavaScript;Python,26.0,Man
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",10 to 19 employees,Viet Nam,45000000.0,Monthly,Vietnamese dong,Go;HTML/CSS;JavaScript;TypeScript,36.0,Man
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack",20 to 99 employees,Viet Nam,17000000.0,Monthly,Vietnamese dong,HTML/CSS;JavaScript;TypeScript,30.0,Man
13,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","1,000 to 4,999 employees",Viet Nam,30000000.0,Monthly,Vietnamese dong,C#,,
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack",20 to 99 employees,Viet Nam,24000000.0,Monthly,Vietnamese dong,HTML/CSS;Java;JavaScript;PHP;Python,,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Data scientist or machine learning specialist;Engineer, data",,Viet Nam,11000000.0,Monthly,Vietnamese dong,Python,23.0,Man
7,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, embedded applications or devices",100 to 499 employees,Viet Nam,15600000.0,Monthly,Vietnamese dong,C;HTML/CSS;JavaScript;Python;VBA,28.0,Man
15,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications",500 to 999 employees,Viet Nam,40000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;TypeScript,35.0,Man
6,"Associate degree (A.A., A.S., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",20 to 99 employees,Viet Nam,27000000.0,Monthly,Vietnamese dong,Go;Java;Scala;SQL;TypeScript,27.0,Man
10,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, full-stack;DevOps specialist;System administrator",20 to 99 employees,Viet Nam,8000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL,24.0,Man
3,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;DevOps specialist;Engineering manager;Product manager",20 to 99 employees,Viet Nam,400.0,Monthly,Pound sterling,Bash/Shell/PowerShell;Go;HTML/CSS;JavaScript;Rust,23.0,Man
4,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack","1,000 to 4,999 employees",Viet Nam,18000000.0,Monthly,Vietnamese dong,,,
4,"Professional degree (JD, MD, etc.)","Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, front-end;Developer, full-stack","1,000 to 4,999 employees",Viet Nam,15000000.0,Monthly,Vietnamese dong,C#;HTML/CSS;Java;JavaScript;Python;SQL,,
6,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, front-end;Developer, full-stack",500 to 999 employees,Viet Nam,15000000.0,Monthly,Vietnamese dong,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;Python;SQL,,
